title,review,date_p,rating,reviewer_role,company_size,designation,industury
The AT&T Connect implementation of the service went well,Decent service and good rates. Great communications system for conferences. Normal deployment results.,27-Dec-18,5,Data and Analytics,50M - 250M USD,IT Analyst,Communications Industry
"Easy to use, zero downtime","Deployment was very easy from the user point of view.  Simply open the software, and connect; it just works.",30-Oct-18,5,R&D/Product Development,250M - 500M USD,Principal Member of Technical Staff,Manufacturing Industry
Best Meeting Tool Available in The Market,Excellent product for conference calls. Good for working from home. Free outgoing for users. The quality is very good for calls. Call drop rate is very less.,12-May-18,5,COO,50M - 250M USD,Head - Customer success,Services Industry
Well planned implementation with consideration paid for available resources,The project lead from AT&T was knowledgeable and was able to provide implementation best practices.  They also had experience working with clients that have limited staff availability.  The timing of the process was considerate of our resources.,25-Jan-18,4,CIO,500M - 1B USD,First SVP,Finance Industry
Great UI that provides global connectivity ,AT&T has a great service that brings cross functional team together using a great UI,18-Jan-18,5,Applications,3B - 10B USD,Engineer,Manufacturing Industry
"Easy implementation with strong support, but some minor technology issues","Strong customer service is all phases of implementation.  Some minor technology issues occurred, but were resolved fairly quickly.",18-Jan-18,4,Supply Chain,3B - 10B USD,"Sr. Manager, Global Supply Chain",Manufacturing Industry
Better support and reliability,"Smooth transition all good so far, better realiabily then past vendors",18-Jan-18,4,Infrastructure and Operations,500M - 1B USD,Infrastructure and Operations,Manufacturing Industry
Toll-free Numbers Available but not working always,"AT&T lets conference calls easily handeled. Sometimes, the toll-free numbers from respective countries didn't work and hence users had to used toll-ed dail-in numbers which is not fair. These situtations can be avioaded for hassle-free calls.",20-Jan-18,5,Program and Portfolio Management,30B + USD,Digital Marketing SME,Manufacturing Industry
ATTT Connect Meeting review,Useful but sometimes problems with flash,05-Jan-18,4,Sales and Marketing,<50M USD,Marketing Manager,Services Industry
"Implementation was difficult, but overall worth the time and investment",ATT did a very good job overall and we were pleased with the outcome,07-Nov-17,4,Supply Chain,30B + USD,Sr. Supply Chain Specialist,Transportation Industry
"Usage is easy, extended use needs improvement.",Great communications system for meetings and conferences.,30-Jan-18,5,Knowledge Specialist,50M - 250M USD,Support Associate,Finance Industry
Awesome service for webex meetings ,the web conferencing service is very good with excellent call quality ,09-Nov-17,5,Data and Analytics,3B - 10B USD,Senior Marketing Analyst,Retail Industry
"works well, get what you expect","has worked well for our company, does what we expected",15-Nov-17,4,Other CxO,1B - 3B USD,Treasurer for Board of Directors,Finance Industry
AT&T a Customer Friendly Connectivity Provider,AT&T Teleconference has been good partner for our connectivity needs. The services are up to the mark even after so many years. We do face problems time to time with noise  on the line but they are quick to resolve the issues.,21-Nov-17,4,Portfolio Manager,3B - 10B USD,IT Manager,Manufacturing Industry
Ease of use of the web and phone conferencing is a great plus for this product.,The meeting software has worked well for our Creative and Travel teams.  Making phone and web conferencing easier.,22-Sep-17,5,Enterprise Architecture and Technology Innovation,<50M USD,Telecom Support Specialist,Services Industry
"Implementation and changeover was simple, and problems were solved quickly and efficiently","Good rates, decent service, and good customer support for the odd cases that went outside normal deployment results. ",07-Nov-17,4,Enterprise Architecture and Technology Innovation,3B - 10B USD,TDP Specialist,Services Industry
AT&T Connect - A Reliable Constant in a Changing Landscape,AT&T is a stable and reliable production for the most part.  Some call drops have been reported and call quality varies at times.  The ability to load the APP to our cell phone and track meetings was most helpful for meetings outside my work hours.  It is easy to use and flexible.  AT&T pricing is negotiable so you can pay by the services you use or pay a flat fee.,23-May-17,4,Infrastructure and Operations,500M - 1B USD,Manager - Voice Services,Finance Industry
AT & T Connect make meetings difficult ,AT & T Connect is a very bad product.  They update the platform frequently and folks are constantly having to update the software before launching a meeting.   Very dislike by the entire organization.  Just learned that they are moving to WebEx and abandoing Connect. ,09-Mar-17,1,Infrastructure and Operations,1B - 3B USD,System Admin,Manufacturing Industry
"It was easy to implement , but user accpetance took a while..","On the whole, it was a good experience even though there were certain road blocks",14-Mar-17,3,Enterprise Architecture and Technology Innovation,1B - 3B USD,Lead,Healthcare Industry
AT&T Connect Experience,"The implementation of the service went well.  Since then, many of our users find that AT&T Connect is cumbersome and not always reliable.  Since then, AT&T has partnered with Cisco on their WebEx platform.  We are in the process of migrating away from Connect to WebEx.",19-Jan-17,4,Infrastructure and Operations,50M - 250M USD,Telecommunications Supervisor,Services Industry
Recruiting business needs met,Ease of use is good.  ,02-Mar-17,4,CEO,<50M USD,CEO,Services Industry
Not for us,Terrible support and clunky interface.  Switched to Google after 2 months.,22-Feb-17,2,Infrastructure and Operations,50M - 250M USD,IT Director,Retail Industry
Overall tool performs well.,SLAs do not match the negative experience or business disruption.,21-Sep-16,3,"Sourcing, Procurement and Vendor Management",1B - 3B USD,Director,Healthcare Industry
Works in Global Organization ,"Product works well in a global organization, good voice clarity, abvility to screen share ",20-Dec-16,5,Enterprise Architecture and Technology Innovation,10B - 30B USD,Architecture,Finance Industry
Looks great but needs better tech support,"Very difficult to get a hold of someone to edit account information. Help tickets take a long time. We also weren't communicated when new versions would be released in advance, so we had several surprises.",25-Oct-16,4,Knowledge Specialist,<50M USD,Learning Supervisor,Finance Industry
Worked out of box.,All is going well,02-Dec-16,4,R&D/Product Development,10B - 30B USD,Manager,Manufacturing Industry
Quick deployment and easy to use.,Product meets organization needs.,11-May-16,4,Enterprise Architecture and Technology Innovation,3B - 10B USD,IT Architect,Government Industry
"Pray Nothing Goes Wrong, but Know That it Will","This company needs to get its act together. I don't know how such a large company is so disorganized. If you call them for support, you'll get transferred at least two times, minimum, before someone is able to help you. You'll hear common phrases such as, ""This request needs to go to our East Coast division."" ""Sorry, the number you called is for Enterprise Support, but this account is supported under Small Business support."" ""No, I can't transfer you."" When it comes to support, the only hope you can have is if you have a few personal contacts from AT&T you can blast an email to when something goes wrong.",16-Apr-19,1,Enterprise Architecture and Technology Innovation,250M - 500M USD,IT Specialist,Retail Industry
Positive experience with the implementation and overall ongoing support and partnership,Our relationship with AT&T Network Services encompasses using cellular network to provide cellular service and data transmission from our telematics devices to our databases for analysis.  The overall experience and partnership has been positive and would recommend others to partner and use their services as well.,09-Apr-19,4,Product Management/Marketing,30B + USD,Product Owner,Finance Industry
Virtual network of AT&T review,"It has one integrated contract and a single, easy-to-read bill. An MPLS VPN uses multiprotocol label switching (MPLS) to create a virtual private network (VPN). MPLS VPN is a flexible method to transport and route several types of network traffic using a private MPLS backbone. AT&T VPN is an MPLS VPN.",17-Dec-18,4,Data and Analytics,<50M USD,Research Analyst,Services Industry
Perfect in the area's that matter.,"As an Global Enterprise customer of AT&T, I can say AT&T is very responsive to our needs. The area's that are lacking are not really business impacting, more ""It'd be nice if..."" type things. The stuff that really matters is top notch.",19-Dec-18,4,Knowledge Specialist,30B + USD,"Regional Order Management, Specialist",Manufacturing Industry
Cyber ​​security,"Self-driving carts Internal systems of airborne vehicles such as brakes, control vehicles and emergency situations. In traditional networks, a device sends a data information hundreds of kilometers away. It takes time to move data across large physical distances. As a result, delays may occur. With Edge computing, critical functions can be processed in real time on the edge of the network. Verita from secondary systems such as updating the car's maps or being in-car infotainment can be processed in the cloud.",23-Jun-19,5,Knowledge Specialist,<50M USD,Network Manager,Media Industry
Overall very satisfied with this service!,"Great Experience. We honestly have not had any issues. If we ever come across any questions, customer service is knowledgeable.  AT&T also made it very easy to switch from our previous provider. ",22-Jan-19,5,Customer Experience Leader,<50M USD,Client Support Supervisor,Healthcare Industry
A telecom giant in need of an overhaul,"While they have a huge footprint their service has deteriorated so badly that if you want AT&T Network services, I highly recommend purchasing through a re-seller.",11-Apr-19,2,Infrastructure and Operations,"Gov't/PS/ED <5,000 Employees",Sr. System Engineer,Services Industry
"Great, but nothing to brag about","I think this service is ok. I believe they charge a little to much for what you are provided. Their claim is that they cover more areas when than their competition but living in a metropolitan area, I feel every network would cover my area.",05-Nov-18,4,Supply Chain,<50M USD,Licensed Massage Therapist,Healthcare Industry
AT&T APvN service is rock solid,I am very satisfied with our AT&T APvN service.  We have over 99.9% up time and it is a very stable product.,13-Dec-18,5,Infrastructure and Operations,50M - 250M USD,Telecommunications Supervisor,Finance Industry
Worst telecom support ever experianced in over 25 years of experiance. ,"Great sales experience, good implementation experience, terrible Support.  All is good until you need support. Count on hold times longer than a hour, support personnel that don't know what there talking about, and resolutions that for any other company take less than a hour be up to 24 hours with AT&T.  Not a good choice for any SMB as your priority will be but a drip out of an entire ocean. We have multiple location in the United States so I deal with many telecom vendors and by far AT&T's support performance rates last on the list. ",15-Jun-18,2,CIO,<50M USD,Information Technology Manager,Services Industry
AT&T Network Services are very reliable,"I utilize AT&T Network Services daily during responsibilities and job duties with Right Management. I have found the AT&T Network to be reliable and stable with virtually no interruptions of service or connectivity issues.  Whether I am hard-wired or utilizing a wireless connection, I can rest assured my  telecommunications will run smoothly, which allows me to provide the best service to my Clients.  

I am very pleased with my AT&T Network Services",29-Apr-19,5,Knowledge Specialist,<50M USD,Engagement Specialist,Services Industry
"Gets the Job Done, Eventually","Overall, AT&T provides the network services that I need but their customer service majorly lacks. Throughout the years I have had many issues with getting different answers to the same questions and being passed around from one customer service representative to another. However, this is sometimes expected with large companies. ",09-Apr-19,4,Sales and Marketing,<50M USD,Marketing Manager,Finance Industry
Great service!,"Fast, reliable service. I would recommend this product to anyone in need of network services. With AT&T, we were able to get up and running ASAP. ",18-Apr-19,4,Knowledge Specialist,<50M USD,Manager,Manufacturing Industry
good quality service,quite stable service with minimal interruption.  generally good customer service. customer representatives are helpful and efficient and easy to to deal with.  very customer orientated ,18-Apr-19,4,R&D/Product Development,30B + USD,Sr. Development Specialist,Manufacturing Industry
Good coverage area at most of the places ,"Good coverage area in most of the places throughout US. Some palces we do face netwrok coverage issue. ATT should be able to make  almost 100% coverage area .

International calling should be made cheaper 

Mobile plans prepaid and postpaid are very expensive. Should be made better prices
",22-May-19,4,Applications,10B - 30B USD,Sr. Software Engineer,Finance Industry
Implementation was smooth,"Satisfied with their service.  Our rep was knowledgeable and did what she said she would do. Billing however, has been more of a challenge due to their terms.",11-Apr-19,4,Customer Experience Leader,250M - 500M USD,Tenant Service Coordinator,Services Industry
MPLS - Global value added services ,Great uptime and value added services like leased equipment. Excellent support staff available when the business requires action not to mention global reach into Asia and India ,01-Mar-19,5,Analyst,<50M USD,Telecom Manager ,Media Industry
Great provider!,We rarely have any problem with our AT&T service.  When we do have a problem AT&T is always quick to resolve the issue.,09-Apr-19,4,Infrastructure and Operations,"Gov't/PS/ED <5,000 Employees",IT Support,Education Industry
"Consistent network, Inconsistent hardware and software. ","Consistent network speed, inconsistent equipment and software. There always seems to be changes in their GUI and the process of IP passthrough.",13-Mar-19,3,System Integrator,50M - 250M USD,Programmer,Miscellaneous Industry
Pleased With Service....,Very good experience. we never face any issues. If we ever have any problem regarding network or anything related to AT&T(VPN) then customer service plays there roll well .,24-May-19,4,R&D/Product Development,30B + USD,Asst. Manager ,Manufacturing Industry
Faster and easier response time.,"For my phone service, I do not get much service in East Texas. As for my internet, it is spotty and when I call reps to come out, they are never on time.",15-Apr-19,3,Sales and Marketing,<50M USD,Business Development Manager,Services Industry
AT&T Provides Excellent Network Services.,Service works very well once it is started. A great network to join without problem.AT&T also made it very easy to switch from our previous provider. ,29-Apr-19,4,R&D/Product Development,1B - 3B USD,Sr Engineer,Manufacturing Industry
"Implemention was successful, but communication could be better","Did not like when they chose to push updates through our systems.  Happened at inconvenient times.  When this would happen, the remote sites VPN boxes would have issues and they would be without service until an IT representative from our company would come onsite.",13-Mar-19,3,Consultant,50M - 250M USD,Senior Account Manager,Finance Industry
"Pricing is steep, but customer service is good",The pricing is steep compared to other vendors. The overall customer service is good; whenever we have needed technical support they have been more than helpful.,09-Apr-19,3,Knowledge Specialist,"Gov't/PS/ED 5,000 - 50,000 Employees",Teacher,Education Industry
I love At&T but connection can use some work.,"Internet connection is flaky. I've had At&T for a number of years but since starting, my connections have been problematic.",23-Apr-19,3,Sales and Marketing,250M - 500M USD,Community Director,Education Industry
Good network design needs more adaptibility for unique facility requirements,"Network system is well designed in theory, but implementation in our facility is tricky due to space limitations and competing resource interests. Planning for implementation could use a bit more latitude given our inherent limitations. ",21-Mar-19,4,Infrastructure and Operations,3B - 10B USD,Sr. Infrastructure Systems Engr,Energy and Utilities Industry
Excellent customer relations and services,I never have issues with services and it is always available during travel.   I travel frequently between business and personal and this service is always exceptional.,13-Mar-19,5,Analyst,1B - 3B USD,Management Analyst,Government Industry
Marvelous Service,At&t is one of the best business services we have had for a growing business as the one we have. They always arrive on time and their phone lines & numbers are exactly what we ask for.,24-Oct-18,5,Customer Experience Leader,<50M USD,Accounts Payable Manager,Finance Industry
Went above and beyond my expectations,Extremely knowledgeable to quickly identify and solve any network related issues. Put tools into our network that gave us visibility into all aspects of our network. ,05-Sep-18,5,Data and Analytics,30B + USD,Service Analyst,Manufacturing Industry
"Nothing about this product is good, and support is terrible.","AT&T support is beyond awful.  Please go with any other network provider.  The faster AT&T goes out of business, the better the industry will be.",14-Mar-19,1,System Integrator,500M - 1B USD,Convergence Specialist,Communications Industry
"AT&T has great coverage, but tends to lose data at times","At&T overall is great, though signal and overall internet can get lost at times with a lot of areas without coverage",10-Apr-19,4,"Sourcing, Procurement and Vendor Management",30B + USD,Senior Building Openings Lead,Construction Industry
"Great performance, but where's the support?","Overall AT&T provides satisfactory network performance and reliability, however support is sometimes non-existent",02-May-19,4,Customer Experience Leader,50M - 250M USD,Customer Success Manager,Services Industry
Good coverage,"Amazing. offers an attractively prepaid plan, and its network performance remains strong, firmly keeping this carrier in the upper rank of cellphone service providers.",05-Apr-19,5,Analyst,50M - 250M USD,Postdoc,Services Industry
sometimes the internet connection is not good for cable.,"They provide an overall good service on the cell phone and cable service. Even sometime they have cable speed issue, but not too often. The people working in ATT store is nice and welcoming.",11-Dec-18,4,R&D/Product Development,3B - 10B USD,R&D/Product Development,Education Industry
Pretty good and stable internet service,"The internet service is very good, it is very stable and the bandwidth is adequate for the operation, but the support service is poor.",14-Apr-19,4,Infrastructure and Operations,<50M USD,TI and Operations Manager,Services Industry
Needs additional services/features,I am neither satisfied or dissatisfied currently...need more data...there is no way for me to accurately decide if my money has been well spent or not as of now,13-Mar-19,3,CEO,<50M USD,CEO,Media Industry
Implementation slow but worth it,"Great speed once in place but slow coming to service area. Minimal problems after installation, adequate equipment and user friendly",12-Apr-19,4,Infrastructure and Operations,50M - 250M USD,Cash Operations Manager,Finance Industry
Innovative and still creating new and attractive ideas,The have been able to provide exceptional services. They have changed the way we work in the network services. They provide so many options that changes their competitive. ,04-Apr-19,4,Knowledge Specialist,500M - 1B USD,Contract Specialist,Services Industry
Solid service and pricing for company phone plans,We use AT&T for our company mobile phone plan.  The plan pricing is good and the service is good in the NYC area. ,09-Apr-19,4,Infrastructure and Operations,250M - 500M USD,Systems Administrator,Finance Industry
AT&T Provides Excellent Network Services,"AT&T is among the most popular in providers of network services for a reason - they have comprehensive service offerings, and they are as functional as they are comprehensive.",12-Mar-19,5,Digital Marketing,50M - 250M USD,Assistant Director of Financial Operatio,Media Industry
Easy to use and work with,We have great speed an continuity with our services. We rarely have issues with network and this is so important in our offices.,16-Apr-19,4,Supply Chain,<50M USD,Supply Analyst,Services Industry
AT&T service,"Normally our managers use the service on a daily basis, the managers use their cells phone to connect with clients and colleagues all over the world.",04-Apr-19,4,Supply Chain,3B - 10B USD,Director of Purchasing,Miscellaneous Industry
Servcies network AT&T.,"I have used  AT&T Network Services this product help some problem present in the business, We needed change the infrastructure to develop digital services for cloud, the speed and connectivity was better with this server after service implemented the red worked  fine and got solution whit the several problems. ",05-May-19,5,Consultant,<50M USD,consultant ,Services Industry
AT&T best network service provider solutions ,Best network service provider who gives complete end to end access for the network coverage inside the organization ,26-Jun-19,5,Consultant,30B + USD,Manufacturing Associate,Manufacturing Industry
MY AT&T,"Great Experience with this service provider, Lots of good work still needed in near future to give more better service.",22-Apr-19,4,R&D/Product Development,50M - 250M USD,Sr. Design Engineer,Services Industry
AT&T REVIEW,"I'm happy with the service provider, they are giving  good network coverage and satisfactory services.",22-Apr-19,4,R&D/Product Development,<50M USD,Lead Engineer,Services Industry
We've Received Improvement in Performance over Verizon,We are happy on a global scale with our AVPN.  We reduced our WAN latency significantly moving to AT&T from Verizon MPLS.  Implementation is smooth and support is OK.  Support groups are not as customer focused as sales and engineering but the product reliability and performance is rock solid. ,21-May-18,4,Infrastructure and Operations,1B - 3B USD,Sr. Network Design Engineer,Manufacturing Industry
Great Customer Service,It was a smooth experience and the customer service was smart and very helpful. The product/services are great and we would recommend it others. ,24-Apr-18,4,Knowledge Specialist,50M - 250M USD,HR Business Partner,Services Industry
 implementation is a nightmare,"Provisioning services take more than 2 weeks to get one link up, implementation was a nightmare.

We have a lot of problems with invoices and account management.

We have requested links termination since 2 years ago and we are still receiving invoices.",22-Feb-18,3,Infrastructure and Operations,500M - 1B USD,IT Telecoms,Manufacturing Industry
"Technically OK in Europe, but hard to deal with commercially",Technical services are OK and relatively stable but the supplier is slow to bring forward innovation and commercially change can be difficult,31-Jan-18,2,"Sourcing, Procurement and Vendor Management",10B - 30B USD,Director -  IT Vendor Management ,Manufacturing Industry
"Managed Service works very well, but cumbersome to process all orders and installations",Service works very well once it is installed.  Processing orders was very time consuming with some circuits taking very long to get in place.  Some of that is due to physical site locations.,29-Jan-18,4,"Sourcing, Procurement and Vendor Management",10B - 30B USD,Executive Buyer,Miscellaneous Industry
Very complex installation for a simple rollout,Lack of communication and understanding of installation steps.,18-Jan-18,2,CIO,50M - 250M USD,IT Manager,Construction Industry
AT&T delivers as expected.,"Overall, the outcome was satisfactory.  There was a strong disconnect between national reps and local reps in terms of service delivery and expectations, though, that inhibited our ability to support a major business process.",05-Dec-17,4,Infrastructure and Operations,3B - 10B USD,"VP, IS Operations & Services",Media Industry
It is where today is in technology!,Works great fast and effiecient!,07-Nov-17,5,Sales and Marketing,500M - 1B USD,Business Development Manager,Retail Industry
"AT&T are innovative, competitive and extremely customer focused","For a large multinational telco - AT&T are surprisingly nimble to react to fast-paced environment, the relationship management shown by the account team is outstanding.  

AT&T's drive for continual innovation makes them a perfect technology fit for our organisation ",05-Oct-17,5,Infrastructure and Operations,50M - 250M USD,IT Manager,Government Industry
AT&T should cannibalize its traditional product before someone else does,"Overall experience is positive, on the strength of customer engagement and flexibility of service.
",05-Oct-17,4,CIO,3B - 10B USD,IT Director,Manufacturing Industry
Implementation satisfactory,"Reliable solutions. However innivation lagging behind other vendors for regions outside of US e,g, agile network capability",08-Nov-17,4,Infrastructure and Operations,500M - 1B USD,EME Foundation Lead,Manufacturing Industry
SD-Wan via AT&T is a home run!,They brought an outstanding solution that both decreased price and provided vastly superior features.,06-Oct-17,5,COO,50M - 250M USD,"President, COO",Services Industry
 Helps to reduce cost of existing services and maintain revenue though additional Services,engaged with business outcomes and constantly looking to reduce cost and add services,20-Sep-17,4,CIO,<50M USD,General Manager Information Technology,Manufacturing Industry
ATT mpls is legit,"Been in network for the last 15 years, ATT always seems to ""me"" the easier of the ISP's to work with and get circuits on time.",22-Sep-17,5,Infrastructure and Operations,<50M USD,Network Engineer,Healthcare Industry
good suppport always lead good services,getting best support in services front and following proper SLA's.,22-Dec-17,4,Infrastructure and Operations,500M - 1B USD,senior engineer,Manufacturing Industry
"With any major implementation, you have to stay on top of the supplier","This was a technical refresh of a global network backbone.  AT&T's global presence, plus thier level of skill and dedication to my company, were deciding factors.",24-Jun-17,4,Consultant,<50M USD,Principal,Services Industry
After the sales team left the building. ,"I was very disapointed with the service and support that we received after the sales people closed the deal. Engineering, architecture, account management, and support were all sub par. Not what you would expect from a huge company and reputation like ATT's. ",26-Apr-17,1,Infrastructure and Operations,10B - 30B USD,Director Infrastructure Technology,Retail Industry
MPLS provisioning was poorly managed.,MPLS provisioning was delayed for two months for many reasons. This delayed has caused an impact on our business operational effectiveness.  Local account team and management do not have a sense of urgency and lack of customer focus.  The project was completed after escalation to the AT&T executive management team.,26-Apr-17,4,CTO,50M - 250M USD,"Senior Vice President, IT",Miscellaneous Industry
AVPN solutions from AT&T met our needs ,AT&T AVPN solutions have provide our clinics and smaller facilities for remote access back to primary and secondary data centers and wide area networks solution..      the Cost  and network speeds are impressive.   we use data circuits at our facilities from this vendor and they are a great provider of  high speed and capacity for needs..,18-Apr-17,4,Enterprise Architecture and Technology Innovation,500M - 1B USD,Lead Network Admin,Manufacturing Industry
easy implementation but late response,Not timely responsive,29-Jun-17,3,Sales and Marketing,<50M USD,Director,Communications Industry
AT&T MPLS Solution proves solid and reliable but the customer service has issues,The network is well established and solid in performance and uptime.  The major issue with the billing and interdepartmental communications with AT&T.,24-Feb-17,3,Infrastructure and Operations,50M - 250M USD,Director of Information Systems,Transportation Industry
AT&T Installed with ease,Very easy implmentation process very good overall,10-May-17,3,Infrastructure and Operations,1B - 3B USD,Senior Manager of Telecommunication ,Finance Industry
"ATT, I'd do it again","While I think the service is fine, the support is at times suspect. When we open a ticket it is generally acted upon quickly however when a solution is found the ticket is closed. There is no feedback as to what occurred or what was done to resolve the issue. ",17-Jan-17,4,Infrastructure and Operations,<50M USD,"Director, Information Systems",Miscellaneous Industry
MPLS Deployment,Chosing a managed service was an excellent option.  It was not core capability of the infrastrcure team.,05-Dec-16,4,CTO,250M - 500M USD,"Director, Information Services",Construction Industry
"High availability, good global reach but some frustrations on the commercial side","Very strong on overall reliability and incident management. Very poor on IMACs and overall technology conversion (EVPN to AVPN, for example). Frustrating on the contracting and some very prolonged commercial issues that drive internal cost (manage, follow-up, reconciliation, etc.).",20-Sep-16,4,"Sourcing, Procurement and Vendor Management",1B - 3B USD,Sr. Commercial Manager,Manufacturing Industry
Collaboration led to flexible implementation.,AT&T in this latest engagement has improved in terms of flexibility and cost concessions.,19-Sep-16,4,"Sourcing, Procurement and Vendor Management","Gov't/PS/ED 5,000 - 50,000 Employees",Manager,Services Industry
Implementation was effective but slow.,"AT&T has the technical capabilities. However, in my opinion your experience depends on both your account manager and assigned project manager. They do nothing quickly.",07-Jun-16,3,Program and Portfolio Management,30B + USD,PMO Manager,Finance Industry
Provisioning opportunities abound.,Good experience.,18-Feb-16,4,"Sourcing, Procurement and Vendor Management",3B - 10B USD,Sr. Supplier Technology Manager,Finance Industry
"Solid service, but needs better project management to implement.","The MPLS service is solid. The current account team is solid. The implementation team is not well versed in communication. Sources indicate European or Asian outsourcing which cause a communication delay going either direction. The project status for the first three migrations had to be requested throughout the project so far. I had to constantly ask for updates weekly and when dates changed, we did not know about it until I asked, plus the 24+ hour later delayed response. Once the circuits were brought up, the service is solid. Based on negations of cost and credit, we are able to overlook the slow to communicate issue while receiving faster pipes, at a reduced cost to the Opex budget.",09-Dec-15,4,Enterprise Architecture and Technology Innovation,250M - 500M USD,Enterprise Architect,Manufacturing Industry
"No technical challenges, back-office issues with contracts or consistent billing.","The service is functional and stable, ordering and billing are obtuse.",07-Dec-15,4,Infrastructure and Operations,250M - 500M USD,IT Operations Manager,Transportation Industry
