Review Snippet,rating,label
At&t is one of the best business services we have had for a growing business as the one we have. They always arrive on time and their phone lines & numbers are exactly what we ask for.,1,Positive
Extremely knowledgeable to quickly identify and solve any network related issues. Put tools into our network that gave us visibility into all aspects of our network. ,1,Positive
"AT&T support is beyond awful.  Please go with any other network provider.  The faster AT&T goes out of business, the better the industry will be.",-1,Negative
"At&T overall is great, though signal and overall internet can get lost at times with a lot of areas without coverage",1,Positive
"Overall AT&T provides satisfactory network performance and reliability, however support is sometimes non-existent",-1,Negative
"Amazing. offers an attractively prepaid plan, and its network performance remains strong, firmly keeping this carrier in the upper rank of cellphone service providers.",1,Positive
"They provide an overall good service on the cell phone and cable service. Even sometime they have cable speed issue, but not too often. The people working in ATT store is nice and welcoming.",1,Positive
"The internet service is very good, it is very stable and the bandwidth is adequate for the operation, but the support service is poor.",1,Positive
I am neither satisfied or dissatisfied currently...need more data...there is no way for me to accurately decide if my money has been well spent or not as of now,-1,Negative
"Great speed once in place but slow coming to service area. Minimal problems after installation, adequate equipment and user friendly",1,Positive
The have been able to provide exceptional services. They have changed the way we work in the network services. They provide so many options that changes their competitive. ,1,Positive
We use AT&T for our company mobile phone plan.  The plan pricing is good and the service is good in the NYC area. ,1,Positive
"AT&T is among the most popular in providers of network services for a reason - they have comprehensive service offerings, and they are as functional as they are comprehensive.",1,Positive
We have great speed an continuity with our services. We rarely have issues with network and this is so important in our offices.,1,Positive
"Normally our managers use the service on a daily basis, the managers use their cells phone to connect with clients and colleagues all over the world.",1,Positive
"I have used  AT&T Network Services this product help some problem present in the business, We needed change the infrastructure to develop digital services for cloud, the speed and connectivity was better with this server after service implemented the red worked  fine and got solution whit the several problems. ",1,Positive
Best network service provider who gives complete end to end access for the network coverage inside the organization ,1,Positive
"Great Experience with this service provider, Lots of good work still needed in near future to give more better service.",1,Positive
"I'm happy with the service provider, they are giving  good network coverage and satisfactory services.",1,Positive
We are happy on a global scale with our AVPN.  We reduced our WAN latency significantly moving to AT&T from Verizon MPLS.  Implementation is smooth and support is OK.  Support groups are not as customer focused as sales and engineering but the product reliability and performance is rock solid. ,1,Positive
It was a smooth experience and the customer service was smart and very helpful. The product/services are great and we would recommend it others. ,1,Positive
"Provisioning services take more than 2 weeks to get one link up, implementation was a nightmare.

We have a lot of problems with invoices and account management.

We have requested links termination since 2 years ago and we are still receiving invoices.",-1,Negative
Technical services are OK and relatively stable but the supplier is slow to bring forward innovation and commercially change can be difficult,-1,Negative
Service works very well once it is installed.  Processing orders was very time consuming with some circuits taking very long to get in place.  Some of that is due to physical site locations.,-1,Negative
Lack of communication and understanding of installation steps.,-1,Negative
"Overall, the outcome was satisfactory.  There was a strong disconnect between national reps and local reps in terms of service delivery and expectations, though, that inhibited our ability to support a major business process.",1,Positive
Works great fast and effiecient!,1,Positive
"For a large multinational telco - AT&T are surprisingly nimble to react to fast-paced environment, the relationship management shown by the account team is outstanding.  

AT&T's drive for continual innovation makes them a perfect technology fit for our organisation ",1,Positive
"Overall experience is positive, on the strength of customer engagement and flexibility of service.
",1,Positive
"Reliable solutions. However innivation lagging behind other vendors for regions outside of US e,g, agile network capability",1,Positive
They brought an outstanding solution that both decreased price and provided vastly superior features.,1,Positive
"Been in network for the last 15 years, ATT always seems to ""me"" the easier of the ISP's to work with and get circuits on time.",1,Positive
engaged with business outcomes and constantly looking to reduce cost and add services,1,Positive
getting best support in services front and following proper SLA's.,1,Positive
"This was a technical refresh of a global network backbone.  AT&T's global presence, plus thier level of skill and dedication to my company, were deciding factors.",1,Positive
"I was very disapointed with the service and support that we received after the sales people closed the deal. Engineering, architecture, account management, and support were all sub par. Not what you would expect from a huge company and reputation like ATT's. ",-1,Negative
MPLS provisioning was delayed for two months for many reasons. This delayed has caused an impact on our business operational effectiveness.  Local account team and management do not have a sense of urgency and lack of customer focus.  The project was completed after escalation to the AT&T executive management team.,-1,Negative
AT&T AVPN solutions have provide our clinics and smaller facilities for remote access back to primary and secondary data centers and wide area networks solution..      the Cost  and network speeds are impressive.   we use data circuits at our facilities from this vendor and they are a great provider of  high speed and capacity for needs..,1,Positive
Not timely responsive,-1,Negative
The network is well established and solid in performance and uptime.  The major issue with the billing and interdepartmental communications with AT&T.,-1,Negative
Very easy implmentation process very good overall,1,Positive
"While I think the service is fine, the support is at times suspect. When we open a ticket it is generally acted upon quickly however when a solution is found the ticket is closed. There is no feedback as to what occurred or what was done to resolve the issue. ",1,Positive
Chosing a managed service was an excellent option.  It was not core capability of the infrastrcure team.,1,Positive
"Very strong on overall reliability and incident management. Very poor on IMACs and overall technology conversion (EVPN to AVPN, for example). Frustrating on the contracting and some very prolonged commercial issues that drive internal cost (manage, follow-up, reconciliation, etc.).",-1,Negative
AT&T in this latest engagement has improved in terms of flexibility and cost concessions.,1,Positive
"AT&T has the technical capabilities. However, in my opinion your experience depends on both your account manager and assigned project manager. They do nothing quickly.",-1,Negative
Good experience.,1,Positive
"The MPLS service is solid. The current account team is solid. The implementation team is not well versed in communication. Sources indicate European or Asian outsourcing which cause a communication delay going either direction. The project status for the first three migrations had to be requested throughout the project so far. I had to constantly ask for updates weekly and when dates changed, we did not know about it until I asked, plus the 24+ hour later delayed response. Once the circuits were brought up, the service is solid. Based on negations of cost and credit, we are able to overlook the slow to communicate issue while receiving faster pipes, at a reduced cost to the Opex budget.",1,Positive
"The service is functional and stable, ordering and billing are obtuse.",-1,Negative
